,2003,2004,2005,2006,2007,2008,2009,2010,2011
sali,479550984101,491042808483,504802386869,527902520442,548340247523,561110451401,561110451401,561110451401,561110451401
choi,25522446172,27936047162,29896949944,27248336302,25927208740,25026311436,25026311436,25026311436,25026311436
fra,21188961007,21817224789,22290076783,23543570750,24913749450,25761021989,25761021989,25761021989,25761021989
hsup,0,0,0,0,1919435138,11601356962,11601356962,11601356962,11601356962
ppe_du_sa,6341839755,6412654744,5645284280,5740669222,5884357381,5698940278,5698940278,5698940278,5698940278
ppe_du_ns,0,0,0,25010298,25161055,25474140,25474140,25474140,25474140
rsti,173707464007,182680254648,195445891946,205844332206,217073856749,228180042951,228180042951,228180042951,228180042951
alr,5172335637,5439505028,5247196361,5390756726,5406589755,5393787191,5393787191,5393787191,5393787191
frag_exon,0,0,0,6285111,6698878,6665002,6665002,6665002,6665002
frag_impo,0,0,0,896512850,1002393616,883970587,883970587,883970587,883970587
arag_exon,0,0,0,29438204,19549590,52427256,52427256,52427256,52427256
arag_impg,0,0,0,5150417953,6004619448,6515953706,6515953706,6515953706,6515953706
arag_defi,0,0,0,519217942,466504608,569823886,569823886,569823886,569823886
nrag_exon,0,0,0,5947768,2961232,8306767,8306767,8306767,8306767
nrag_impg,0,0,0,165830038,143866961,131407929,131407929,131407929,131407929
nrag_defi,0,0,0,208934263,195452860,227872677,227872677,227872677,227872677
nrag_ajag,0,0,0,222049148,277182943,298854347,298854347,298854347,298854347
mbic_exon,0,0,0,86078065,105915284,100675586,100675586,100675586,100675586
abic_exon,0,0,0,1177952916,1197649944,1082987175,1082987175,1082987175,1082987175
nbic_exon,0,0,0,492544792,487972770,421237819,421237819,421237819,421237819
mbic_impv,0,0,0,2100010417,2162966191,2168760464,2168760464,2168760464,2168760464
mbic_imps,0,0,0,1057721166,1129777677,1195815531,1195815531,1195815531,1195815531
abic_impn,0,0,0,5691594567,5712642664,5245932336,5245932336,5245932336,5245932336
abic_imps,0,0,0,10888542213,11210594255,10559353834,10559353834,10559353834,10559353834
nbic_impn,0,0,0,429079540,379822623,317547475,317547475,317547475,317547475
nbic_imps,0,0,0,2565531277,2185883689,2045325826,2045325826,2045325826,2045325826
abic_defn,0,0,0,179728232,173594589,204534148,204534148,204534148,204534148
abic_defs,0,0,0,357998816,405793465,430917149,430917149,430917149,430917149
nbic_defn,0,0,0,215328631,184339320,196226816,196226816,196226816,196226816
nbic_defs,0,0,0,673996342,647948774,673665399,673665399,673665399,673665399
nbic_apch,0,0,0,2952815,3597977,3103905,3103905,3103905,3103905
