openfisca,2003,2004,2005,2006,2007,2008,2009,2010,2011
af,11447.50,11698.60,11951.60,12121.80,12299.90,12342.30,12534.80,12354.20,12413.90
cf,1556.30,1574.60,1594.90,1596.90,1585.40,1595.40,1629.30,1631.40,1635.10
asf,992.10,1027.80,1070.90,1099.40,1181.30,1162.70,1256.80,1255.40,1259.90
api,833.20,899.70,971.70,1064.20,1075.30,1024.30,543.80,0.00,0.00
ars,1338.40,1370.30,1381.10,1389.80,1381.10,1487.10,1494.70,1509.90,1527.90
paje,0.00,1809.30,5228.90,8817.70,10592.80,11420.20,12050.90,12426.20,12753.90
paje_base,0.00,754.40,2138.70,3445.70,4003.10,4112.30,4233.60,4246.40,4288.20
paje_clca,0.00,290.30,1169.60,1975.10,2299.20,2256.40,2258.10,2203.30,2213.60
paje_clmg,0.00,178.80,1329.60,2777.10,3670.60,4413.20,4904.70,5312.20,5581.40
apje,2815.60,1782.90,986.00,287.90,2.10,n.c.,n.c.,n.c.,n.c.
ape,3033.60,2712.10,1569.10,442.10,0.00,0.50,0.10,0.50,0.00
afeama,2168.10,2224.90,1611.40,838.30,286.30,137.60,42.70,-2.10,0.00
aged,113.30,115.40,97.90,54.40,31.30,17.00,6.70,-0.10,0.00
aah,4577.10,4811.70,5031.90,5230.40,5505.40,5773.40,5965.30,0.00,0.00
aeeh,468.10,492.40,520.70,567.90,607.50,654.90,670.50,685.50,718.20
